"id_comm";"id_study"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p99_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p9_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_pLK80_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Berry et al. 2010_Berry Borneo trees 2.5cm_10_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_11_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_12_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_13_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_14_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_15_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_16_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_17_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_18_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_19_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_1_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_20_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
"Berry et al. 2010_Berry Borneo trees 2.5cm_21_NA";"PR_Berry et al. 2010_Berry Borneo trees 2.5cm"
